Station,Country,Lon,Lat,Date,Precipitation
DOSSO,Niger,3.3,13.03333,1983-01-01,0
DOSSO,Niger,3.3,13.03333,1983-01-02,0
DOSSO,Niger,3.3,13.03333,1983-01-03,0
DOSSO,Niger,3.3,13.03333,1983-01-04,
DOSSO,Niger,3.3,13.03333,1983-01-05,
DOSSO,Niger,3.3,13.03333,1983-01-06,
DOSSO,Niger,3.3,13.03333,1983-01-07,
DOSSO,Niger,3.3,13.03333,1983-01-08,
DOSSO,Niger,3.3,13.03333,1983-01-09,
DOSSO,Niger,3.3,13.03333,1983-01-10,0
DOSSO,Niger,3.3,13.03333,1983-01-11,0
DOSSO,Niger,3.3,13.03333,1983-01-12,0
DOSSO,Niger,3.3,13.03333,1983-01-13,0
DOSSO,Niger,3.3,13.03333,1983-01-14,0
DOSSO,Niger,3.3,13.03333,1983-01-15,0
DOSSO,Niger,3.3,13.03333,1983-01-16,
DOSSO,Niger,3.3,13.03333,1983-01-17,
DOSSO,Niger,3.3,13.03333,1983-01-18,
DOSSO,Niger,3.3,13.03333,1983-01-19,
DOSSO,Niger,3.3,13.03333,1983-01-20,
DOSSO,Niger,3.3,13.03333,1983-01-21,
DOSSO,Niger,3.3,13.03333,1983-01-22,
DOSSO,Niger,3.3,13.03333,1983-01-23,0
DOSSO,Niger,3.3,13.03333,1983-01-24,
DOSSO,Niger,3.3,13.03333,1983-01-25,
DOSSO,Niger,3.3,13.03333,1983-01-26,
DOSSO,Niger,3.3,13.03333,1983-01-27,
DOSSO,Niger,3.3,13.03333,1983-01-28,
DOSSO,Niger,3.3,13.03333,1983-01-29,0
DOSSO,Niger,3.3,13.03333,1983-01-30,
DOSSO,Niger,3.3,13.03333,1983-01-31,
DOSSO,Niger,3.3,13.03333,1983-02-01,0
DOSSO,Niger,3.3,13.03333,1983-02-02,0
DOSSO,Niger,3.3,13.03333,1983-02-03,0
DOSSO,Niger,3.3,13.03333,1983-02-04,0
DOSSO,Niger,3.3,13.03333,1983-02-05,0
DOSSO,Niger,3.3,13.03333,1983-02-06,0
DOSSO,Niger,3.3,13.03333,1983-02-07,0
DOSSO,Niger,3.3,13.03333,1983-02-08,0
DOSSO,Niger,3.3,13.03333,1983-02-09,0
DOSSO,Niger,3.3,13.03333,1983-02-10,0
DOSSO,Niger,3.3,13.03333,1983-02-11,
DOSSO,Niger,3.3,13.03333,1983-02-12,0
DOSSO,Niger,3.3,13.03333,1983-02-13,0
DOSSO,Niger,3.3,13.03333,1983-02-14,0
DOSSO,Niger,3.3,13.03333,1983-02-15,
DOSSO,Niger,3.3,13.03333,1983-02-16,0
DOSSO,Niger,3.3,13.03333,1983-02-17,0
DOSSO,Niger,3.3,13.03333,1983-02-18,
DOSSO,Niger,3.3,13.03333,1983-02-19,0
DOSSO,Niger,3.3,13.03333,1983-02-20,0
DOSSO,Niger,3.3,13.03333,1983-02-21,0
DOSSO,Niger,3.3,13.03333,1983-02-22,0
DOSSO,Niger,3.3,13.03333,1983-02-23,0
DOSSO,Niger,3.3,13.03333,1983-02-24,0
DOSSO,Niger,3.3,13.03333,1983-02-25,0
DOSSO,Niger,3.3,13.03333,1983-02-26,0
DOSSO,Niger,3.3,13.03333,1983-02-27,0
DOSSO,Niger,3.3,13.03333,1983-02-28,0
DOSSO,Niger,3.3,13.03333,1983-03-01,0
DOSSO,Niger,3.3,13.03333,1983-03-02,0.3697818
DOSSO,Niger,3.3,13.03333,1983-03-03,0
DOSSO,Niger,3.3,13.03333,1983-03-04,0
DOSSO,Niger,3.3,13.03333,1983-03-05,0
DOSSO,Niger,3.3,13.03333,1983-03-06,0
DOSSO,Niger,3.3,13.03333,1983-03-07,0
DOSSO,Niger,3.3,13.03333,1983-03-08,0
DOSSO,Niger,3.3,13.03333,1983-03-09,0
DOSSO,Niger,3.3,13.03333,1983-03-10,0
DOSSO,Niger,3.3,13.03333,1983-03-11,0
DOSSO,Niger,3.3,13.03333,1983-03-12,0
DOSSO,Niger,3.3,13.03333,1983-03-13,0
DOSSO,Niger,3.3,13.03333,1983-03-14,0
DOSSO,Niger,3.3,13.03333,1983-03-15,0
DOSSO,Niger,3.3,13.03333,1983-03-16,0
DOSSO,Niger,3.3,13.03333,1983-03-17,0
DOSSO,Niger,3.3,13.03333,1983-03-18,0
DOSSO,Niger,3.3,13.03333,1983-03-19,0
DOSSO,Niger,3.3,13.03333,1983-03-20,0
DOSSO,Niger,3.3,13.03333,1983-03-21,0
DOSSO,Niger,3.3,13.03333,1983-03-22,0
DOSSO,Niger,3.3,13.03333,1983-03-23,0
DOSSO,Niger,3.3,13.03333,1983-03-24,0
DOSSO,Niger,3.3,13.03333,1983-03-25,0
DOSSO,Niger,3.3,13.03333,1983-03-26,0
DOSSO,Niger,3.3,13.03333,1983-03-27,0
DOSSO,Niger,3.3,13.03333,1983-03-28,0
DOSSO,Niger,3.3,13.03333,1983-03-29,0
DOSSO,Niger,3.3,13.03333,1983-03-30,
DOSSO,Niger,3.3,13.03333,1983-03-31,0
DOSSO,Niger,3.3,13.03333,1983-04-01,0
DOSSO,Niger,3.3,13.03333,1983-04-02,0
DOSSO,Niger,3.3,13.03333,1983-04-03,7.570591
DOSSO,Niger,3.3,13.03333,1983-04-04,0
DOSSO,Niger,3.3,13.03333,1983-04-05,0
DOSSO,Niger,3.3,13.03333,1983-04-06,0
DOSSO,Niger,3.3,13.03333,1983-04-07,0
