Station,Country,Year,Extreme_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
BOROMO,Burkina,1983,46.30005,43.0105251282051,3.28952487179487,3.28952487179487,0
BOROMO,Burkina,1984,27.04067,43.0105251282051,-15.9698551282051,0,-15.9698551282051
BOROMO,Burkina,1985,52.1764,43.0105251282051,9.16587487179487,9.16587487179487,0
BOROMO,Burkina,1986,30.49227,43.0105251282051,-12.5182551282051,0,-12.5182551282051
BOROMO,Burkina,1987,34.83494,43.0105251282051,-8.17558512820513,0,-8.17558512820513
BOROMO,Burkina,1988,32.72085,43.0105251282051,-10.2896751282051,0,-10.2896751282051
BOROMO,Burkina,1989,39.37975,43.0105251282051,-3.63077512820513,0,-3.63077512820513
BOROMO,Burkina,1990,23.20338,43.0105251282051,-19.8071451282051,0,-19.8071451282051
BOROMO,Burkina,1991,51.86123,43.0105251282051,8.85070487179487,8.85070487179487,0
BOROMO,Burkina,1992,47.18681,43.0105251282051,4.17628487179487,4.17628487179487,0
BOROMO,Burkina,1993,77.64379,43.0105251282051,34.6332648717949,34.6332648717949,0
BOROMO,Burkina,1994,42.47055,43.0105251282051,-0.539975128205128,0,-0.539975128205128
BOROMO,Burkina,1995,34.56483,43.0105251282051,-8.44569512820513,0,-8.44569512820513
BOROMO,Burkina,1996,40.44578,43.0105251282051,-2.56474512820513,0,-2.56474512820513
BOROMO,Burkina,1997,44.38202,43.0105251282051,1.37149487179487,1.37149487179487,0
BOROMO,Burkina,1998,67.78905,43.0105251282051,24.7785248717949,24.7785248717949,0
BOROMO,Burkina,1999,66.62481,43.0105251282051,23.6142848717949,23.6142848717949,0
BOROMO,Burkina,2000,27.55111,43.0105251282051,-15.4594151282051,0,-15.4594151282051
BOROMO,Burkina,2001,33.76595,43.0105251282051,-9.24457512820513,0,-9.24457512820513
BOROMO,Burkina,2002,33.67434,43.0105251282051,-9.33618512820513,0,-9.33618512820513
BOROMO,Burkina,2003,67.81662,43.0105251282051,24.8060948717949,24.8060948717949,0
BOROMO,Burkina,2004,36.09809,43.0105251282051,-6.91243512820513,0,-6.91243512820513
BOROMO,Burkina,2005,32.98276,43.0105251282051,-10.0277651282051,0,-10.0277651282051
BOROMO,Burkina,2006,28.74638,43.0105251282051,-14.2641451282051,0,-14.2641451282051
BOROMO,Burkina,2007,36.27835,43.0105251282051,-6.73217512820513,0,-6.73217512820513
BOROMO,Burkina,2008,53.86981,43.0105251282051,10.8592848717949,10.8592848717949,0
BOROMO,Burkina,2009,48.35326,43.0105251282051,5.34273487179487,5.34273487179487,0
BOROMO,Burkina,2010,37.35645,43.0105251282051,-5.65407512820513,0,-5.65407512820513
BOROMO,Burkina,2011,56.23566,43.0105251282051,13.2251348717949,13.2251348717949,0
BOROMO,Burkina,2012,43.61529,43.0105251282051,0.60476487179487,0.60476487179487,0
BOROMO,Burkina,2013,40.25103,43.0105251282051,-2.75949512820513,0,-2.75949512820513
BOROMO,Burkina,2014,42.96746,43.0105251282051,-0.0430651282051286,0,-0.0430651282051286
BOROMO,Burkina,2015,37.4571,43.0105251282051,-5.55342512820513,0,-5.55342512820513
BOROMO,Burkina,2016,39.64545,43.0105251282051,-3.36507512820513,0,-3.36507512820513
BOROMO,Burkina,2017,41.98244,43.0105251282051,-1.02808512820513,0,-1.02808512820513
BOROMO,Burkina,2018,45.35522,43.0105251282051,2.34469487179487,2.34469487179487,0
BOROMO,Burkina,2019,55.13775,43.0105251282051,12.1272248717949,12.1272248717949,0
BOROMO,Burkina,2020,36.04167,43.0105251282051,-6.96885512820513,0,-6.96885512820513
BOROMO,Burkina,2021,43.11111,43.0105251282051,0.100584871794865,0.100584871794865,0
