Station,Country,Year,Extreme_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
GAOUA,Burkina,1983,32.96402,49.4295364102564,-16.4655164102564,0,-16.4655164102564
GAOUA,Burkina,1984,37.9796,49.4295364102564,-11.4499364102564,0,-11.4499364102564
GAOUA,Burkina,1985,69.9444,49.4295364102564,20.5148635897436,20.5148635897436,0
GAOUA,Burkina,1986,62.3691,49.4295364102564,12.9395635897436,12.9395635897436,0
GAOUA,Burkina,1987,63.69313,49.4295364102564,14.2635935897436,14.2635935897436,0
GAOUA,Burkina,1988,65.38766,49.4295364102564,15.9581235897436,15.9581235897436,0
GAOUA,Burkina,1989,34.87307,49.4295364102564,-14.5564664102564,0,-14.5564664102564
GAOUA,Burkina,1990,34.00479,49.4295364102564,-15.4247464102564,0,-15.4247464102564
GAOUA,Burkina,1991,58.03799,49.4295364102564,8.60845358974359,8.60845358974359,0
GAOUA,Burkina,1992,68.80836,49.4295364102564,19.3788235897436,19.3788235897436,0
GAOUA,Burkina,1993,29.11848,49.4295364102564,-20.3110564102564,0,-20.3110564102564
GAOUA,Burkina,1994,65.68999,49.4295364102564,16.2604535897436,16.2604535897436,0
GAOUA,Burkina,1995,39.89155,49.4295364102564,-9.53798641025641,0,-9.53798641025641
GAOUA,Burkina,1996,53.70069,49.4295364102564,4.27115358974359,4.27115358974359,0
GAOUA,Burkina,1997,53.4858,49.4295364102564,4.05626358974359,4.05626358974359,0
GAOUA,Burkina,1998,46.03794,49.4295364102564,-3.39159641025641,0,-3.39159641025641
GAOUA,Burkina,1999,35.49968,49.4295364102564,-13.9298564102564,0,-13.9298564102564
GAOUA,Burkina,2000,39.75325,49.4295364102564,-9.67628641025641,0,-9.67628641025641
GAOUA,Burkina,2001,67.94566,49.4295364102564,18.5161235897436,18.5161235897436,0
GAOUA,Burkina,2002,36.49503,49.4295364102564,-12.9345064102564,0,-12.9345064102564
GAOUA,Burkina,2003,49.40144,49.4295364102564,-0.0280964102564099,0,-0.0280964102564099
GAOUA,Burkina,2004,55.53304,49.4295364102564,6.10350358974359,6.10350358974359,0
GAOUA,Burkina,2005,34.00962,49.4295364102564,-15.4199164102564,0,-15.4199164102564
GAOUA,Burkina,2006,54.6838,49.4295364102564,5.25426358974359,5.25426358974359,0
GAOUA,Burkina,2007,40.67368,49.4295364102564,-8.75585641025641,0,-8.75585641025641
GAOUA,Burkina,2008,56.21542,49.4295364102564,6.78588358974359,6.78588358974359,0
GAOUA,Burkina,2009,43.55143,49.4295364102564,-5.87810641025641,0,-5.87810641025641
GAOUA,Burkina,2010,45.62051,49.4295364102564,-3.80902641025641,0,-3.80902641025641
GAOUA,Burkina,2011,39.97909,49.4295364102564,-9.45044641025641,0,-9.45044641025641
GAOUA,Burkina,2012,42.48409,49.4295364102564,-6.94544641025641,0,-6.94544641025641
GAOUA,Burkina,2013,67.69723,49.4295364102564,18.2676935897436,18.2676935897436,0
GAOUA,Burkina,2014,58.44232,49.4295364102564,9.01278358974359,9.01278358974359,0
GAOUA,Burkina,2015,44.80267,49.4295364102564,-4.62686641025641,0,-4.62686641025641
GAOUA,Burkina,2016,45.70177,49.4295364102564,-3.72776641025641,0,-3.72776641025641
GAOUA,Burkina,2017,58.82719,49.4295364102564,9.39765358974359,9.39765358974359,0
GAOUA,Burkina,2018,63.12482,49.4295364102564,13.6952835897436,13.6952835897436,0
GAOUA,Burkina,2019,44.92778,49.4295364102564,-4.50175641025641,0,-4.50175641025641
GAOUA,Burkina,2020,50.39583,49.4295364102564,0.966293589743586,0.966293589743586,0
GAOUA,Burkina,2021,36,49.4295364102564,-13.4295364102564,0,-13.4295364102564
