Station,Country,Year,Extreme_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
BILMA,Niger,1983,2.231318,9.5064421025641,-7.2751241025641,0,-7.2751241025641
BILMA,Niger,1984,23.8985,9.5064421025641,14.3920578974359,14.3920578974359,0
BILMA,Niger,1985,3.210095,9.5064421025641,-6.2963471025641,0,-6.2963471025641
BILMA,Niger,1986,60.87378,9.5064421025641,51.3673378974359,51.3673378974359,0
BILMA,Niger,1987,3.078556,9.5064421025641,-6.4278861025641,0,-6.4278861025641
BILMA,Niger,1988,3.628654,9.5064421025641,-5.8777881025641,0,-5.8777881025641
BILMA,Niger,1989,18.33041,9.5064421025641,8.8239678974359,8.8239678974359,0
BILMA,Niger,1990,20.80685,9.5064421025641,11.3004078974359,11.3004078974359,0
BILMA,Niger,1991,3.231814,9.5064421025641,-6.2746281025641,0,-6.2746281025641
BILMA,Niger,1992,9.545289,9.5064421025641,0.0388468974358975,0.0388468974358975,0
BILMA,Niger,1993,8.76755,9.5064421025641,-0.738892102564103,0,-0.738892102564103
BILMA,Niger,1994,11.58622,9.5064421025641,2.0797778974359,2.0797778974359,0
BILMA,Niger,1995,5.315999,9.5064421025641,-4.1904431025641,0,-4.1904431025641
BILMA,Niger,1996,7.236665,9.5064421025641,-2.2697771025641,0,-2.2697771025641
BILMA,Niger,1997,4.582773,9.5064421025641,-4.9236691025641,0,-4.9236691025641
BILMA,Niger,1998,31.46448,9.5064421025641,21.9580378974359,21.9580378974359,0
BILMA,Niger,1999,4.049933,9.5064421025641,-5.4565091025641,0,-5.4565091025641
BILMA,Niger,2000,2.966741,9.5064421025641,-6.5397011025641,0,-6.5397011025641
BILMA,Niger,2001,3.654923,9.5064421025641,-5.8515191025641,0,-5.8515191025641
BILMA,Niger,2002,1.530792,9.5064421025641,-7.9756501025641,0,-7.9756501025641
BILMA,Niger,2003,9.062963,9.5064421025641,-0.443479102564103,0,-0.443479102564103
BILMA,Niger,2004,15.63638,9.5064421025641,6.1299378974359,6.1299378974359,0
BILMA,Niger,2005,5.075303,9.5064421025641,-4.4311391025641,0,-4.4311391025641
BILMA,Niger,2006,4.506539,9.5064421025641,-4.9999031025641,0,-4.9999031025641
BILMA,Niger,2007,5.059903,9.5064421025641,-4.4465391025641,0,-4.4465391025641
BILMA,Niger,2008,4.050486,9.5064421025641,-5.4559561025641,0,-5.4559561025641
BILMA,Niger,2009,5.226968,9.5064421025641,-4.2794741025641,0,-4.2794741025641
BILMA,Niger,2010,6.220597,9.5064421025641,-3.2858451025641,0,-3.2858451025641
BILMA,Niger,2011,5.370512,9.5064421025641,-4.1359301025641,0,-4.1359301025641
BILMA,Niger,2012,3.290749,9.5064421025641,-6.2156931025641,0,-6.2156931025641
BILMA,Niger,2013,10.21809,9.5064421025641,0.711647897435897,0.711647897435897,0
BILMA,Niger,2014,3.498204,9.5064421025641,-6.0082381025641,0,-6.0082381025641
BILMA,Niger,2015,9.423916,9.5064421025641,-0.0825261025641026,0,-0.0825261025641026
BILMA,Niger,2016,6.401719,9.5064421025641,-3.1047231025641,0,-3.1047231025641
BILMA,Niger,2017,5.442063,9.5064421025641,-4.0643791025641,0,-4.0643791025641
BILMA,Niger,2018,5.060844,9.5064421025641,-4.4455981025641,0,-4.4455981025641
BILMA,Niger,2019,29.27022,9.5064421025641,19.7637778974359,19.7637778974359,0
BILMA,Niger,2020,6.944444,9.5064421025641,-2.5619981025641,0,-2.5619981025641
BILMA,Niger,2021,1,9.5064421025641,-8.5064421025641,0,-8.5064421025641
