Station,Country,Year,Extreme_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
NIAMEY-AERO,Niger,1983,27.74414,41.4964838461539,-13.7523438461538,0,-13.7523438461538
NIAMEY-AERO,Niger,1984,20.85198,41.4964838461539,-20.6445038461538,0,-20.6445038461538
NIAMEY-AERO,Niger,1985,16.62009,41.4964838461539,-24.8763938461538,0,-24.8763938461538
NIAMEY-AERO,Niger,1986,59.37418,41.4964838461539,17.8776961538462,17.8776961538462,0
NIAMEY-AERO,Niger,1987,24.45053,41.4964838461539,-17.0459538461538,0,-17.0459538461538
NIAMEY-AERO,Niger,1988,40.28647,41.4964838461539,-1.21001384615384,0,-1.21001384615384
NIAMEY-AERO,Niger,1989,28.21127,41.4964838461539,-13.2852138461538,0,-13.2852138461538
NIAMEY-AERO,Niger,1990,32.65056,41.4964838461539,-8.84592384615385,0,-8.84592384615385
NIAMEY-AERO,Niger,1991,45.80462,41.4964838461539,4.30813615384616,4.30813615384616,0
NIAMEY-AERO,Niger,1992,41.3882,41.4964838461539,-0.108283846153846,0,-0.108283846153846
NIAMEY-AERO,Niger,1993,28.44823,41.4964838461539,-13.0482538461538,0,-13.0482538461538
NIAMEY-AERO,Niger,1994,75.36129,41.4964838461539,33.8648061538462,33.8648061538462,0
NIAMEY-AERO,Niger,1995,27.77252,41.4964838461539,-13.7239638461538,0,-13.7239638461538
NIAMEY-AERO,Niger,1996,40.69061,41.4964838461539,-0.805873846153844,0,-0.805873846153844
NIAMEY-AERO,Niger,1997,30.45367,41.4964838461539,-11.0428138461538,0,-11.0428138461538
NIAMEY-AERO,Niger,1998,65.65605,41.4964838461539,24.1595661538462,24.1595661538462,0
NIAMEY-AERO,Niger,1999,42.12032,41.4964838461539,0.623836153846156,0.623836153846156,0
NIAMEY-AERO,Niger,2000,37.51588,41.4964838461539,-3.98060384615384,0,-3.98060384615384
NIAMEY-AERO,Niger,2001,40.80943,41.4964838461539,-0.687053846153845,0,-0.687053846153845
NIAMEY-AERO,Niger,2002,37.57215,41.4964838461539,-3.92433384615384,0,-3.92433384615384
NIAMEY-AERO,Niger,2003,67.09908,41.4964838461539,25.6025961538462,25.6025961538462,0
NIAMEY-AERO,Niger,2004,32.50893,41.4964838461539,-8.98755384615384,0,-8.98755384615384
NIAMEY-AERO,Niger,2005,45.03418,41.4964838461539,3.53769615384616,3.53769615384616,0
NIAMEY-AERO,Niger,2006,28.90811,41.4964838461539,-12.5883738461538,0,-12.5883738461538
NIAMEY-AERO,Niger,2007,34.52915,41.4964838461539,-6.96733384615384,0,-6.96733384615384
NIAMEY-AERO,Niger,2008,55.17785,41.4964838461539,13.6813661538462,13.6813661538462,0
NIAMEY-AERO,Niger,2009,43.88604,41.4964838461539,2.38955615384616,2.38955615384616,0
NIAMEY-AERO,Niger,2010,48.93703,41.4964838461539,7.44054615384616,7.44054615384616,0
NIAMEY-AERO,Niger,2011,34.43024,41.4964838461539,-7.06624384615385,0,-7.06624384615385
NIAMEY-AERO,Niger,2012,38.39685,41.4964838461539,-3.09963384615384,0,-3.09963384615384
NIAMEY-AERO,Niger,2013,44.56633,41.4964838461539,3.06984615384616,3.06984615384616,0
NIAMEY-AERO,Niger,2014,54.55482,41.4964838461539,13.0583361538462,13.0583361538462,0
NIAMEY-AERO,Niger,2015,46.01928,41.4964838461539,4.52279615384616,4.52279615384616,0
NIAMEY-AERO,Niger,2016,27.00899,41.4964838461539,-14.4874938461538,0,-14.4874938461538
NIAMEY-AERO,Niger,2017,94.81277,41.4964838461539,53.3162861538462,53.3162861538462,0
NIAMEY-AERO,Niger,2018,42.32225,41.4964838461539,0.825766153846153,0.825766153846153,0
NIAMEY-AERO,Niger,2019,33.41656,41.4964838461539,-8.07992384615385,0,-8.07992384615385
NIAMEY-AERO,Niger,2020,34.08333,41.4964838461539,-7.41315384615385,0,-7.41315384615385
NIAMEY-AERO,Niger,2021,48.88889,41.4964838461539,7.39240615384616,7.39240615384616,0
