Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
OUAGADOUGOU,Burkina,1983,463.54494077,760.099031478923,-296.554090708923,0,-296.554090708923
OUAGADOUGOU,Burkina,1984,572.014003309,760.099031478923,-188.085028169923,0,-188.085028169923
OUAGADOUGOU,Burkina,1985,509.6691139799,760.099031478923,-250.429917499023,0,-250.429917499023
OUAGADOUGOU,Burkina,1986,614.8156129565,760.099031478923,-145.283418522423,0,-145.283418522423
OUAGADOUGOU,Burkina,1987,672.3094453015,760.099031478923,-87.7895861774231,0,-87.7895861774231
OUAGADOUGOU,Burkina,1988,653.724466658,760.099031478923,-106.374564820923,0,-106.374564820923
OUAGADOUGOU,Burkina,1989,663.2980447306,760.099031478923,-96.800986748323,0,-96.800986748323
OUAGADOUGOU,Burkina,1990,504.1371140431,760.099031478923,-255.961917435823,0,-255.961917435823
OUAGADOUGOU,Burkina,1991,783.1355071888,760.099031478923,23.036475709877,23.036475709877,0
OUAGADOUGOU,Burkina,1992,641.9881271497,760.099031478923,-118.110904329223,0,-118.110904329223
OUAGADOUGOU,Burkina,1993,616.8482292345,760.099031478923,-143.250802244423,0,-143.250802244423
OUAGADOUGOU,Burkina,1994,664.7885600567,760.099031478923,-95.310471422223,0,-95.310471422223
OUAGADOUGOU,Burkina,1995,695.1591754478,760.099031478923,-64.9398560311231,0,-64.9398560311231
OUAGADOUGOU,Burkina,1996,601.939720061,760.099031478923,-158.159311417923,0,-158.159311417923
OUAGADOUGOU,Burkina,1997,596.537282184,760.099031478923,-163.561749294923,0,-163.561749294923
OUAGADOUGOU,Burkina,1998,813.6036946509,760.099031478923,53.504663171977,53.504663171977,0
OUAGADOUGOU,Burkina,1999,771.5386925045,760.099031478923,11.4396610255769,11.4396610255769,0
OUAGADOUGOU,Burkina,2000,701.3876569461,760.099031478923,-58.711374532823,0,-58.711374532823
OUAGADOUGOU,Burkina,2001,704.1046680225,760.099031478923,-55.994363456423,0,-55.994363456423
OUAGADOUGOU,Burkina,2002,657.7053787409,760.099031478923,-102.393652738023,0,-102.393652738023
OUAGADOUGOU,Burkina,2003,997.459200203,760.099031478923,237.360168724077,237.360168724077,0
OUAGADOUGOU,Burkina,2004,777.136607906,760.099031478923,17.0375764270769,17.0375764270769,0
OUAGADOUGOU,Burkina,2005,822.832440231,760.099031478923,62.7334087520769,62.7334087520769,0
OUAGADOUGOU,Burkina,2006,719.3005608851,760.099031478923,-40.798470593823,0,-40.798470593823
OUAGADOUGOU,Burkina,2007,751.010697576,760.099031478923,-9.08833390292307,0,-9.08833390292307
OUAGADOUGOU,Burkina,2008,778.6258237111,760.099031478923,18.5267922321769,18.5267922321769,0
OUAGADOUGOU,Burkina,2009,883.7490332203,760.099031478923,123.650001741377,123.650001741377,0
OUAGADOUGOU,Burkina,2010,916.569055671,760.099031478923,156.470024192077,156.470024192077,0
OUAGADOUGOU,Burkina,2011,709.17992314,760.099031478923,-50.919108338923,0,-50.919108338923
OUAGADOUGOU,Burkina,2012,879.0537257339,760.099031478923,118.954694254977,118.954694254977,0
OUAGADOUGOU,Burkina,2013,755.9133684094,760.099031478923,-4.185663069523,0,-4.185663069523
OUAGADOUGOU,Burkina,2014,792.7808872374,760.099031478923,32.6818557584769,32.6818557584769,0
OUAGADOUGOU,Burkina,2015,916.3246201095,760.099031478923,156.225588630577,156.225588630577,0
OUAGADOUGOU,Burkina,2016,920.531128356,760.099031478923,160.432096877077,160.432096877077,0
OUAGADOUGOU,Burkina,2017,875.227423873,760.099031478923,115.128392394077,115.128392394077,0
OUAGADOUGOU,Burkina,2018,930.054384001,760.099031478923,169.955352522077,169.955352522077,0
OUAGADOUGOU,Burkina,2019,924.7493084783,760.099031478923,164.650276999377,164.650276999377,0
OUAGADOUGOU,Burkina,2020,1143.1106205,760.099031478923,383.011589021077,383.011589021077,0
OUAGADOUGOU,Burkina,2021,1248.0039845,760.099031478923,487.904953021077,487.904953021077,0
