Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
BOBO-DIOULASSO,Burkina,1983,599.8723248817,944.304649458669,-344.432324576969,0,-344.432324576969
BOBO-DIOULASSO,Burkina,1984,670.309156348,944.304649458669,-273.995493110669,0,-273.995493110669
BOBO-DIOULASSO,Burkina,1985,980.902775582,944.304649458669,36.5981261233308,36.5981261233308,0
BOBO-DIOULASSO,Burkina,1986,774.434077631,944.304649458669,-169.870571827669,0,-169.870571827669
BOBO-DIOULASSO,Burkina,1987,815.0650796767,944.304649458669,-129.239569781969,0,-129.239569781969
BOBO-DIOULASSO,Burkina,1988,856.4127833682,944.304649458669,-87.8918660904692,0,-87.8918660904692
BOBO-DIOULASSO,Burkina,1989,658.2202195862,944.304649458669,-286.084429872469,0,-286.084429872469
BOBO-DIOULASSO,Burkina,1990,693.9668770396,944.304649458669,-250.337772419069,0,-250.337772419069
BOBO-DIOULASSO,Burkina,1991,910.673577216,944.304649458669,-33.6310722426692,0,-33.6310722426692
BOBO-DIOULASSO,Burkina,1992,847.489955887,944.304649458669,-96.8146935716693,0,-96.8146935716693
BOBO-DIOULASSO,Burkina,1993,735.036060095,944.304649458669,-209.268589363669,0,-209.268589363669
BOBO-DIOULASSO,Burkina,1994,904.226450767,944.304649458669,-40.0781986916693,0,-40.0781986916693
BOBO-DIOULASSO,Burkina,1995,890.0853710801,944.304649458669,-54.2192783785692,0,-54.2192783785692
BOBO-DIOULASSO,Burkina,1996,906.95653867,944.304649458669,-37.3481107886693,0,-37.3481107886693
BOBO-DIOULASSO,Burkina,1997,814.2823582031,944.304649458669,-130.022291255569,0,-130.022291255569
BOBO-DIOULASSO,Burkina,1998,1048.7158228464,944.304649458669,104.411173387731,104.411173387731,0
BOBO-DIOULASSO,Burkina,1999,976.16193583,944.304649458669,31.8572863713307,31.8572863713307,0
BOBO-DIOULASSO,Burkina,2000,933.073243727,944.304649458669,-11.2314057316693,0,-11.2314057316693
BOBO-DIOULASSO,Burkina,2001,864.3707059557,944.304649458669,-79.9339435029692,0,-79.9339435029692
BOBO-DIOULASSO,Burkina,2002,755.911684602,944.304649458669,-188.392964856669,0,-188.392964856669
BOBO-DIOULASSO,Burkina,2003,1103.0757292908,944.304649458669,158.771079832131,158.771079832131,0
BOBO-DIOULASSO,Burkina,2004,847.2932946566,944.304649458669,-97.0113548020693,0,-97.0113548020693
BOBO-DIOULASSO,Burkina,2005,868.3554073544,944.304649458669,-75.9492421042693,0,-75.9492421042693
BOBO-DIOULASSO,Burkina,2006,1049.692480715,944.304649458669,105.387831256331,105.387831256331,0
BOBO-DIOULASSO,Burkina,2007,861.3804192695,944.304649458669,-82.9242301891693,0,-82.9242301891693
BOBO-DIOULASSO,Burkina,2008,1004.4831221305,944.304649458669,60.1784726718307,60.1784726718307,0
BOBO-DIOULASSO,Burkina,2009,1005.713588045,944.304649458669,61.4089385863307,61.4089385863307,0
BOBO-DIOULASSO,Burkina,2010,1145.0883774768,944.304649458669,200.783728018131,200.783728018131,0
BOBO-DIOULASSO,Burkina,2011,786.20388898,944.304649458669,-158.100760478669,0,-158.100760478669
BOBO-DIOULASSO,Burkina,2012,1076.1720977865,944.304649458669,131.867448327831,131.867448327831,0
BOBO-DIOULASSO,Burkina,2013,928.0868560614,944.304649458669,-16.2177933972693,0,-16.2177933972693
BOBO-DIOULASSO,Burkina,2014,1249.2565085527,944.304649458669,304.951859094031,304.951859094031,0
BOBO-DIOULASSO,Burkina,2015,1202.2112736656,944.304649458669,257.906624206931,257.906624206931,0
BOBO-DIOULASSO,Burkina,2016,1097.9766155157,944.304649458669,153.671966057031,153.671966057031,0
BOBO-DIOULASSO,Burkina,2017,802.7840226517,944.304649458669,-141.520626806969,0,-141.520626806969
BOBO-DIOULASSO,Burkina,2018,1138.1503788412,944.304649458669,193.845729382531,193.845729382531,0
BOBO-DIOULASSO,Burkina,2019,1282.683716502,944.304649458669,338.379067043331,338.379067043331,0
BOBO-DIOULASSO,Burkina,2020,1365.3208184,944.304649458669,421.016168941331,421.016168941331,0
BOBO-DIOULASSO,Burkina,2021,1377.785734,944.304649458669,433.481084541331,433.481084541331,0
